record_id_eia,record_id_ferc1,signature_1,signature_2,notes
26_4_2013_plant_unit_total_195,f1_steam_2013_12_2_0_5,CG,,
26_4_2012_plant_unit_total_195,f1_steam_2012_12_2_0_5,CG,,
26_4_2011_plant_unit_total_195,f1_steam_2011_12_2_0_5,CG,,
26_4_2010_plant_unit_total_195,f1_steam_2010_12_2_0_5,CG,,
26_4_2009_plant_unit_total_195,f1_steam_2009_12_2_0_5,CG,,
26_5_2008_plant_gen_total_195,f1_steam_2008_12_2_0_5,CG,,
26_5_2007_plant_gen_total_195,f1_steam_2007_12_2_0_5,CG,,
26_5_2006_plant_gen_total_195,f1_steam_2006_12_2_0_5,CG,,
26_5_2005_plant_gen_total_195,f1_steam_2005_12_2_0_5,CG,,
26_5_2004_plant_gen_total_195,f1_steam_2004_12_2_0_5,CG,,
2963_1_2018_plant_unit_total_15474,f1_gnrt_plant_2018_12_148_0_1,,,
2964_1_2018_plant_unit_total_15474,f1_gnrt_plant_2018_12_148_0_9,,,
3325_gt_2019_plant_prime_mover_total_19545,f1_steam_2019_12_12_0_1,CG,,
3325_ic_2019_plant_prime_mover_total_19545,f1_steam_2019_12_12_0_2,CG,,
3325_IC_2018_plant_prime_mover_owned_19545,f1_steam_2018_12_12_0_2,CG,,
3325_gt_2018_plant_prime_mover_total_19545,f1_steam_2018_12_12_0_1,CG,,
3325_gt_2017_plant_prime_mover_total_19545,f1_steam_2017_12_12_0_1,CG,,
3325_ic_2017_plant_prime_mover_total_19545,f1_steam_2017_12_12_0_2,CG,,
3325_gt_2009_plant_prime_mover_total_19545,f1_steam_2009_12_12_0_1,CG,,
3325_ic_2009_plant_prime_mover_total_19545,f1_steam_2009_12_12_0_2,CG,,
3325_1_2009_plant_unit_owned_19545,f1_steam_2009_12_12_0_3,CG,,
3325_gt_2008_plant_prime_mover_total_19545,f1_steam_2008_12_12_0_1,CG,,
3325_st_2008_plant_prime_mover_total_19545,f1_steam_2008_12_12_0_2,CG,,
3325_st_2008_plant_prime_mover_owned_19545,f1_steam_2008_12_12_0_3,CG,,
3773_2018_plant_owned_733,f1_hydro_2018_12_6_0_4,,,
3774_2018_plant_owned_733,f1_hydro_2018_12_6_0_1,,,
3775_2019_plant_owned_733,f1_steam_2019_12_6_0_1,CG,,Cap is off bc a unit retired
3775_2018_plant_owned_733,f1_steam_2018_12_6_0_1,CG,,Cap is off bc a unit retired
3775_2017_plant_owned_733,f1_steam_2017_12_6_0_1,CG,,Cap is off bc a unit retired
3775_2016_plant_owned_733,f1_steam_2016_12_6_0_1,CG,,Cap is off bc a unit retired
3775_2015_plant_owned_733,f1_steam_2015_12_6_0_1,CG,,Cap is off bc a unit retired
3775_2014_plant_owned_733,f1_steam_2014_12_6_0_1,CG,,
3775_2013_plant_total_733,f1_steam_2013_12_6_0_1,CG,,
3775_2012_plant_total_733,f1_steam_2012_12_6_0_1,CG,,
3775_2011_plant_total_733,f1_steam_2011_12_6_0_1,CG,,
3775_2010_plant_total_733,f1_steam_2010_12_6_0_1,CG,,
3775_2009_plant_total_733,f1_steam_2009_12_6_0_1,CG,,
3775_2008_plant_total_733,f1_steam_2008_12_6_0_1,CG,,
3775_2007_plant_total_733,f1_steam_2007_12_6_0_1,CG,,
3775_2006_plant_total_733,f1_steam_2006_12_6_0_1,CG,,
3775_2005_plant_total_733,f1_steam_2005_12_6_0_1,CG,,
3775_2004_plant_total_733,f1_steam_2004_12_6_0_1,CG,,
3777_2018_plant_owned_733,f1_hydro_2018_12_6_0_2,,,
3796_2018_plant_owned_19876,f1_steam_2018_12_186_0_3,,,
3797_5_2018_plant_unit_owned_19876,f1_steam_2018_12_186_5_5,,,
3797_1_2018_plant_unit_owned_19876,f1_steam_2018_12_186_0_5,,,
3799_2018_plant_owned_19876,f1_steam_2018_12_186_4_2,,,
3800_2018_plant_owned_19876,f1_steam_2018_12_186_4_1,,,
3803_GT_2018_plant_prime_mover_owned_19876,f1_steam_2018_12_186_4_3,,,
3804_GT_2018_plant_prime_mover_owned_19876,f1_steam_2018_12_186_5_1,,,
3804_4_2018_plant_unit_owned_19876,f1_steam_2018_12_186_3_5,,,
3804_1_2018_plant_unit_owned_19876,f1_steam_2018_12_186_2_5,,,
3806_2018_plant_owned_19876,f1_steam_2018_12_186_3_3,,,
3809_2018_plant_owned_19876,f1_steam_2018_12_186_3_4,,,
3935_2018_plant_owned_733,f1_steam_2018_12_6_0_2,,,
3948_1_2018_plant_unit_owned_20521,f1_steam_2018_12_192_0_1,,,
3948_1_2018_plant_unit_owned_22053,f1_steam_2018_12_81_0_2,,,
3948_2018_plant_total_20521,f1_steam_2018_12_192_0_2,,,
3948_2018_plant_total_22053,f1_steam_2018_12_81_0_3,,,
3954_GT_2018_plant_prime_mover_owned_19876,f1_steam_2018_12_186_4_5,,,
3954_1_2018_plant_unit_owned_19876,f1_steam_2018_12_186_2_2,,,
3_6_2018_plant_unit_owned_195,f1_steam_2018_12_2_3_4,,,
3_1_2018_plant_unit_owned_195,f1_steam_2018_12_2_0_3,,,
4041_1_2018_plant_unit_owned_20847,f1_steam_2018_12_193_1_4,,,
4042_1_2018_plant_unit_owned_20847,f1_steam_2018_12_193_1_5,,,
4063_2018_plant_owned_20860,f1_hydro_2018_12_195_0_1,,,
4078_GT_2018_plant_prime_mover_owned_20860,f1_steam_2018_12_195_2_5,,,
4079_2018_plant_owned_20860,f1_hydro_2018_12_195_0_3,,,
4080_2018_plant_owned_20860,f1_hydro_2018_12_195_0_2,,,
4940_1_2018_plant_unit_total_15474,f1_gnrt_plant_2018_12_148_0_4,,,
4941_2018_plant_owned_803,f1_steam_2018_12_7_1_2,,,
50966_2018_plant_owned_19876,f1_steam_2018_12_186_0_2,,,
52007_2018_plant_owned_19876,f1_steam_2018_12_186_2_1,,,
52087_2018_plant_owned_19876,f1_steam_2018_12_186_5_4,,,
52118_2018_plant_owned_19876,f1_steam_2018_12_186_5_3,,,
54844_2018_plant_owned_19876,f1_steam_2018_12_186_1_3,,,
55029_2018_plant_owned_20860,f1_steam_2018_12_195_3_4,,,
55111_2018_plant_owned_40211,f1_gnrt_plant_2018_12_294_0_2,,,
55202_2018_plant_owned_19436,f1_steam_2018_12_177_3_2,,,
55204_2018_plant_owned_19436,f1_steam_2018_12_177_3_1,,,
55218_2018_plant_owned_12685,f1_steam_2018_12_100_0_4,,,
55220_2018_plant_owned_12685,f1_steam_2018_12_100_0_1,,,
55276_2018_plant_owned_733,f1_steam_2018_12_6_0_4,,,
55343_2018_plant_owned_24211,f1_steam_2018_12_176_1_4,,,
55350_2018_plant_owned_733,f1_steam_2018_12_6_0_5,,,
55380_2018_plant_owned_814,f1_steam_2018_12_8_0_2,,,
55395_2018_plant_owned_3702,f1_steam_2018_12_182_0_4,,,
55402_2018_plant_owned_5109,f1_steam_2018_12_44_2_3,,,
55455_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_3,,,
55455_2_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_4,,,
55478_2018_plant_owned_19545,f1_steam_2018_12_12_1_4,,,
55522_2018_plant_owned_803,f1_steam_2018_12_7_4_2,,,
55718_2018_plant_owned_5109,f1_steam_2018_12_44_2_2,,,
55856_2018_plant_total_40211,f1_gnrt_plant_2018_12_294_0_1,,,
55939_2018_plant_owned_19876,f1_steam_2018_12_186_7_1,,,
56031_2018_plant_owned_20860,f1_steam_2018_12_195_4_1,,,
56150_2018_plant_owned_7140,f1_steam_2018_12_57_0_3,,,
56407_1_2018_plant_unit_owned_6452,f1_steam_2018_12_56_0_2,,,
56456_2018_plant_owned_5860,f1_steam_2018_12_51_1_4,,,
56502_1_2018_plant_gen_owned_22500,f1_steam_2018_12_191_0_4,,,
56807_2018_plant_owned_19876,f1_steam_2018_12_186_6_2,,,
56808_2018_plant_owned_19876,f1_steam_2018_12_186_6_3,,,
56818_2018_plant_owned_22500,f1_steam_2018_12_191_0_5,,,
56819_2018_plant_owned_22500,f1_steam_2018_12_191_1_4,,,
56929_2018_plant_owned_6452,f1_steam_2018_12_56_4_4,,,
56930_2018_plant_owned_6452,f1_steam_2018_12_56_4_1,,,
57703_1_2018_plant_unit_owned_19545,f1_steam_2018_12_12_1_1,,,
58260_2018_plant_owned_19876,f1_steam_2018_12_186_7_3,,,
59863_2018_plant_owned_7140,f1_steam_2018_12_57_3_3,,,
59864_2018_plant_owned_7140,f1_steam_2018_12_57_3_2,,,
59865_2018_plant_owned_7140,f1_steam_2018_12_57_3_1,,,
59913_2018_plant_owned_19876,f1_steam_2018_12_186_7_4,,,
6000_2018_plant_owned_9324,f1_steam_2018_12_73_0_5,,,
60014_PV_2018_plant_prime_mover_owned_6452,f1_steam_2018_12_56_5_3,,,
6001_2018_plant_owned_195,f1_steam_2018_12_2_1_1,,,
6002_2018_plant_total_195,f1_steam_2018_12_2_2_1,,,
60061_PV_2018_plant_prime_mover_owned_6452,f1_steam_2018_12_56_5_2,,,
6008_1_2018_plant_gen_owned_803,f1_steam_2018_12_7_5_5,,,
6008_2_2018_plant_gen_owned_803,f1_steam_2018_12_7_6_1,,,
6008_3_2018_plant_gen_owned_803,f1_steam_2018_12_7_6_2,,,
6034_GT_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_3_2,,,
6034_IC_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_4_1,,,
6034_1_2018_plant_unit_owned_5109,f1_steam_2018_12_44_0_2,,,
6034_1_2018_plant_unit_total_5109,f1_steam_2018_12_44_0_1,,,
6035_GT_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_2_5,,,
6035_1_2018_plant_unit_owned_5109,f1_steam_2018_12_44_0_5,,,
60422_2018_plant_owned_19876,f1_steam_2018_12_186_7_2,,,
6042_1_2018_plant_unit_owned_6452,f1_steam_2018_12_56_1_1,,,
6042_3_2018_plant_unit_owned_6452,f1_steam_2018_12_56_3_1,,,
6043_1_2018_plant_unit_owned_6452,f1_steam_2018_12_56_4_3,,,
6043_3_2018_plant_unit_owned_6452,f1_steam_2018_12_56_3_3,,,
6043_5_2018_plant_unit_owned_6452,f1_steam_2018_12_56_1_2,,,
6045_2018_plant_owned_6452,f1_steam_2018_12_56_2_4,,,
6051_2018_plant_owned_7140,f1_steam_2018_12_57_2_5,,,
6052_gt_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_3_5,,,
6052_bit_2018_plant_prime_fuel_owned_7140,f1_steam_2018_12_57_3_4,,,
60689_2018_plant_owned_22500,f1_steam_2018_12_191_2_1,,,
6068_1_2018_plant_unit_owned_56211,f1_steam_2018_12_182_0_3,,,
6068_2018_plant_owned_10005,f1_steam_2018_12_80_0_5,,,
6068_2018_plant_owned_22500,f1_steam_2018_12_191_1_3,,,
6074_1_2018_plant_gen_owned_56211,f1_steam_2018_12_182_0_5,,,
6088_2018_plant_owned_24211,f1_steam_2018_12_176_1_3,,,
609_2018_plant_owned_6452,f1_steam_2018_12_56_0_1,,,
6101_2018_plant_owned_19545,f1_steam_2018_12_12_0_4,,,
61020_2018_plant_owned_6452,f1_steam_2018_12_56_6_1,,,
61021_2018_plant_owned_6452,f1_steam_2018_12_56_6_5,,,
61022_2018_plant_owned_6452,f1_steam_2018_12_56_5_5,,,
61024_2018_plant_owned_6452,f1_steam_2018_12_56_7_4,,,
61029_2018_plant_owned_6452,f1_steam_2018_12_56_6_4,,,
61050_2018_plant_owned_6452,f1_steam_2018_12_56_6_2,,,
61051_2018_plant_owned_6452,f1_steam_2018_12_56_6_3,,,
61052_2018_plant_owned_6452,f1_steam_2018_12_56_7_5,,,
6113_2018_plant_total_40211,f1_gnrt_plant_2018_12_294_0_4,,,
6124_GT_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_1_4,,,
612_1_2018_plant_unit_total_6452,f1_steam_2018_12_56_3_4,,,
613_1_2018_plant_unit_owned_6452,f1_steam_2018_12_56_3_5,,,
6153_2018_plant_owned_19436,f1_steam_2018_12_177_1_1,,,
6155_2018_plant_owned_19436,f1_steam_2018_12_177_0_3,,,
6166_1_2018_plant_unit_owned_9324,f1_steam_2018_12_73_0_1,,,
6166_2_2018_plant_unit_owned_9324,f1_steam_2018_12_73_0_2,,,
6166_2018_plant_total_9324,f1_steam_2018_12_73_0_4,,,
6168_ST_2018_plant_prime_mover_owned_19876,f1_steam_2018_12_186_2_3,,,
6170_1_2018_plant_unit_owned_20847,f1_steam_2018_12_193_0_5,,,
617_2018_plant_owned_6452,f1_steam_2018_12_56_3_2,,,
617_GT_2018_plant_prime_mover_owned_6452_retired,f1_steam_2018_12_56_2_3,,,
619_2018_plant_owned_6452,f1_steam_2018_12_56_0_4,,,
620_1_2018_plant_unit_owned_6452,f1_steam_2018_12_56_0_5,,,
621_5_2018_plant_unit_total_6452,f1_steam_2018_12_56_0_3,,,
621_Nuclear_2018_plant_technology_owned_6452,f1_steam_2018_12_56_2_5,,,
6223_2018_plant_owned_5860,f1_steam_2018_12_51_0_4,,,
6253_2018_plant_owned_20847,f1_steam_2018_12_193_0_3,,,
6257_2018_plant_owned_7140,f1_steam_2018_12_57_0_5,,,
6258_GT_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_2_2,,,
6264_2018_plant_owned_733,f1_steam_2018_12_6_0_3,,,
6280_2018_plant_owned_5860,f1_hydro_2018_12_51_0_1,,,
649_2018_plant_owned_7140,f1_steam_2018_12_57_1_3,,,
6560_2018_plant_owned_733,f1_hydro_2018_12_6_0_3,,,
6561_2018_plant_owned_733,f1_hydro_2018_12_6_1_1,,,
6650_2018_plant_owned_19436,f1_steam_2018_12_177_2_2,,,
6651_2018_plant_owned_19436,f1_steam_2018_12_177_2_1,,,
6652_2018_plant_owned_19436,f1_steam_2018_12_177_2_5,,,
7032_2018_plant_owned_19876,f1_steam_2018_12_186_1_4,,,
703_1_2018_plant_unit_owned_7140,f1_steam_2018_12_57_0_1,,,
708_2018_plant_owned_7140,f1_steam_2018_12_57_1_5,,,
710_CA_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_1_1,,,
710_GT_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_1_2,,,
7159_2018_plant_owned_20847,f1_steam_2018_12_193_0_1,,,
715_GT_2018_plant_prime_mover_owned_7140,f1_steam_2018_12_57_2_4,,,
7212_2018_plant_owned_19876,f1_steam_2018_12_186_1_2,,,
7213_2018_plant_owned_19876,f1_steam_2018_12_186_1_1,,,
7270_2018_plant_owned_20847,f1_steam_2018_12_193_0_4,,,
728_2018_plant_owned_7140,f1_steam_2018_12_57_2_1,,,
7296_GT_2018_plant_prime_mover_owned_5860,f1_steam_2018_12_51_1_1,,,
7296_1_2018_plant_unit_owned_22500,f1_steam_2018_12_276_0_1,,,
7296_1_2018_plant_unit_owned_5860,f1_steam_2018_12_51_1_2,,,
732_2018_plant_owned_7140,f1_steam_2018_12_57_0_4,,,
7348_2018_plant_owned_7140,f1_steam_2018_12_57_2_3,,,
7697_2018_plant_owned_195,f1_steam_2018_12_2_3_1,,,
7698_2018_plant_owned_195,f1_steam_2018_12_2_3_2,,,
7721_2018_plant_owned_195,f1_steam_2018_12_2_3_3,,,
7759_2018_plant_owned_9273,f1_steam_2018_12_74_0_4,,,
7838_2018_plant_owned_19876,f1_steam_2018_12_186_3_1,,,
7839_2018_plant_owned_19876,f1_steam_2018_12_186_1_5,,,
7928_2018_plant_owned_10000,f1_steam_2018_12_79_0_5,,,
7929_2018_plant_owned_10000,f1_steam_2018_12_79_1_5,,,
7964_2018_plant_owned_19436,f1_steam_2018_12_177_0_5,,,
7_2018_plant_owned_195,f1_steam_2018_12_2_0_2,,,
8023_1_2018_plant_unit_owned_20856,f1_steam_2018_12_194_0_3,,,
8023_2_2018_plant_unit_owned_20856,f1_steam_2018_12_194_0_4,,,
8023_1_2018_plant_unit_total_20856,f1_steam_2018_12_194_0_1,,,
8023_2_2018_plant_unit_total_20856,f1_steam_2018_12_194_0_2,,,
8055_2004_plant_owned_814,f1_steam_2004_12_8_0_1,CG,,
8223_1_2018_plant_unit_owned_24211,f1_steam_2018_12_176_0_2,,,
8_2018_plant_owned_195,f1_steam_2018_12_2_0_1,,,
913_GT_2018_plant_prime_mover_owned_19436,f1_steam_2018_12_177_1_2,,,
983_2019_plant_total_9269,f1_steam_2019_12_72_0_1,CG,,
983_2018_plant_owned_9269,f1_steam_2018_12_72_0_1,CG,,
983_2011_plant_total_9269,f1_steam_2011_12_72_0_1,CG,,
983_2007_plant_total_9269,f1_steam_2007_12_72_0_1,CG,,
990_GT_2018_plant_prime_mover_owned_9273,f1_steam_2018_12_74_0_3,,,
990_3_2018_plant_unit_owned_9273,f1_steam_2018_12_74_0_2,,,
991_2018_plant_owned_9273,f1_steam_2018_12_74_0_5,,,
994_IC_2018_plant_prime_mover_owned_9273,f1_gnrt_plant_2018_12_74_0_1,,,
3803_2016_plant_owned_19876,f1_steam_2016_12_186_4_3,,,
6051_2014_plant_owned_7140,f1_steam_2014_12_57_3_2,,,
6073_2016_plant_owned_7801,f1_steam_2016_12_62_0_3,,,
1241_1_2019_plant_unit_owned_10005,f1_steam_2019_12_80_0_3,,,
1241_2_2019_plant_unit_owned_10005,f1_steam_2019_12_80_0_4,,,
1241_1_2019_plant_unit_owned_10000,f1_steam_2019_12_79_2_3,,,
1241_2_2019_plant_unit_owned_10000,f1_steam_2019_12_79_2_4,,,
1241_2019_plant_owned_10000,f1_steam_2019_12_79_2_5,,,
6068_2019_plant_owned_56211,f1_steam_2019_12_182_0_3,,,
6068_2019_plant_owned_22500,f1_steam_2019_12_191_1_3,,,
6068_2019_plant_owned_10005,f1_steam_2019_12_80_0_5,,,
118_ge1_2015_plant_gen_owned_803,f1_steam_2015_12_7_5_1,,,
118_gt1_2015_plant_gen_owned_803,f1_steam_2015_12_7_4_4,,,
118_gt2_2015_plant_gen_owned_803,f1_steam_2015_12_7_4_5,,,
117_1b_2015_plant_gen_owned_803,f1_steam_2015_12_7_6_2,,,
117_2b_2015_plant_gen_owned_803,f1_steam_2015_12_7_6_3,,,
117_3b_2015_plant_gen_owned_803,f1_steam_2015_12_7_6_4,,,
1740_ic_2015_plant_prime_mover_owned_5109,f1_steam_2015_12_44_3_5,,,
1740_2015_plant_owned_5109,f1_steam_2015_12_44_1_3,,,
1740_3_2016_plant_unit_owned_5109,f1_steam_2016_12_44_1_1,,,
1743_11_2015_plant_gen_owned_5109,f1_steam_2015_12_44_5_4,,,
1743_st_2015_plant_prime_mover_owned_5109,f1_steam_2015_12_44_2_4,,,
2706_st_2016_plant_prime_mover_owned_3046,f1_steam_2016_12_17_0_1,,,
6014_2016_plant_total_3046,f1_steam_2016_12_17_1_4,,,
6015_2016_plant_total_3046,f1_steam_2016_12_17_1_5,,,
3251_2_2016_plant_gen_total_3046,f1_steam_2016_12_17_2_1,,,
2706_gt_2016_plant_prime_mover_owned_3046,f1_steam_2016_12_17_2_2,,,
58215_2016_plant_owned_3046,f1_steam_2016_12_17_3_4,,,
58697_2016_plant_owned_3046,f1_steam_2016_12_17_2_5,,,
2716_gt_2016_plant_prime_mover_total_3046,f1_steam_2016_12_17_3_5,,,
58562_2016_plant_total_5701,f1_steam_2016_12_49_1_2,,,
58562_2017_plant_total_5701,f1_steam_2017_12_49_0_4,,,
3456_2016_plant_total_5701,f1_steam_2016_12_49_0_3,,,
3992_2018_plant_owned_11479,f1_steam_2018_12_89_0_1,,,
470_2018_plant_total_15466,f1_steam_2018_12_145_0_4,,,
6112_2018_plant_total_15466,f1_steam_2018_12_145_2_4,,,
6112_gt_2018_plant_prime_mover_total_15466,f1_steam_2018_12_145_2_5,,,
3290_2019_plant_total_17539,f1_hydro_2019_12_159_0_1,CF,,"Prediction was really wrong, matched an entirely different plant"
7210_2018_plant_total_17539,f1_steam_2018_12_159_1_1,CF,,
3281_1_2018_plant_gen_total_17539,f1_steam_2018_12_159_4_1,CF,,
3281_2018_plant_total_17539,f1_steam_2018_12_159_4_3,CF,,
7210_2019_plant_total_17539,f1_steam_2019_12_159_1_1,CF,,
3281_2019_plant_total_17539,f1_steam_2019_12_159_4_3,CF,,
10773_2019_plant_total_19876,f1_steam_2019_12_186_0_1,CF,,
3797_st_2019_plant_prime_mover_total_19876,f1_steam_2019_12_186_0_5,CF,,
7213_2019_plant_owned_19876,f1_steam_2019_12_186_1_1,CF,,"Pretty sure this would match up best with either Clover OWNED or an individual Clover unit; given there are no other Clover units in FERC data, I believe this is Clover OWNED (not TOTAL)"
7212_2019_plant_total_19876,f1_steam_2019_12_186_1_2,CF,,
54844_2019_plant_total_19876,f1_steam_2019_12_186_1_3,CF,,
7032_2019_plant_total_19876,f1_steam_2019_12_186_1_4,CF,,
3800_2019_plant_total_19876,f1_steam_2019_12_186_4_1,CF,,Predicted wrong plant
52087_2019_plant_total_19876,f1_steam_2019_12_186_5_4,CF,,
3797_natural_gas_fired_combined_cycle_2019_plant_technology_total_19876,f1_steam_2019_12_186_5_5,CF,,
6168_hy_2018_plant_prime_mover_total_19876,f1_gnrt_plant_2018_12_186_0_3,CF,,
2758_2018_plant_total_19876,f1_hydro_2018_12_186_0_1,CF,,
3804_st_2019_plant_prime_mover_total_19876,f1_steam_2019_12_186_2_5,CF,,
3809_2019_plant_total_19876,f1_steam_2019_12_186_3_4,CF,,
3799_2019_plant_total_19876,f1_steam_2019_12_186_4_2,CF,,
6168_2019_plant_owned_19876,f1_steam_2019_12_186_2_3,CF,,Capacity better matches OWNED over TOTAL
3806_2019_plant_total_19876,f1_steam_2019_12_186_3_3,CF,,
3295_1_2018_plant_unit_total_17539,f1_steam_2018_12_159_0_2,CF,,
3295_1_2019_plant_unit_total_17539,f1_steam_2019_12_159_0_2,CF,,
3297_2018_plant_total_17539,f1_steam_2018_12_159_0_3,CF,,
3297_2019_plant_total_17539,f1_steam_2019_12_159_0_3,CF,,
3287_2018_plant_total_17539,f1_steam_2018_12_159_0_4,CF,,
3287_2019_plant_total_17539,f1_steam_2019_12_159_0_4,CF,,
3295_gt1_2018_plant_gen_total_17539,f1_steam_2018_12_159_2_5,CF,,
3295_gt1_2019_plant_gen_total_17539,f1_steam_2019_12_159_2_5,CF,,
3295_gt3_2018_plant_gen_total_17539,f1_steam_2018_12_159_3_2,CF,,
3295_gt3_2019_plant_gen_total_17539,f1_steam_2019_12_159_3_2,CF,,
3286_2018_plant_total_17539,f1_steam_2018_12_159_2_4,CF,,
3286_2019_plant_total_17539,f1_steam_2019_12_159_2_4,CF,,
3295_gt2_2018_plant_gen_total_17539,f1_steam_2018_12_159_3_1,CF,,
3295_gt2_2019_plant_gen_total_17539,f1_steam_2019_12_159_3_1,CF,,
3954_2019_plant_total_19876,f1_steam_2019_12_186_2_2,CF,,
3954_gt_2019_plant_prime_mover_total_19876,f1_steam_2019_12_186_4_5,CF,,
7838_2019_plant_total_19876,f1_steam_2019_12_186_3_1,CF,,
3291_2018_plant_total_17539,f1_steam_2018_12_159_1_4,CF,,
3291_2019_plant_total_17539,f1_steam_2019_12_159_1_4,CF,,
10774_2019_plant_total_19876,f1_steam_2019_12_186_3_2,CF,,
7839_2019_plant_total_19876,f1_steam_2019_12_186_1_5,CF,,
3295_gt_2018_plant_prime_mover_total_17539,f1_steam_2018_12_159_3_4,CF,,
3295_gt_2019_plant_prime_mover_total_17539,f1_steam_2019_12_159_3_4,CF,,
3295_natural_gas_fired_combined_cycle_2018_plant_technology_total_17539,f1_steam_2018_12_159_3_5,CF,,
3295_natural_gas_fired_combined_cycle_2019_plant_technology_total_17539,f1_steam_2019_12_159_3_5,CF,,
3804_4_2019_plant_unit_total_19876,f1_steam_2019_12_186_3_5,CF,,
55927_2018_plant_total_17539,f1_steam_2018_12_159_5_4,CF,,
55927_2019_plant_total_17539,f1_steam_2019_12_159_5_3,CF,,
55927_2016_plant_total_17539,f1_steam_2016_12_159_5_4,CG,,
55927_2010_plant_owned_17539,f1_steam_2010_12_159_5_4,CG,,
55927_2009_plant_total_17539,f1_steam_2009_12_159_5_4,CG,,
55927_2008_plant_total_17539,f1_steam_2008_12_159_5_5,CG,,
55927_2007_plant_owned_17539,f1_steam_2007_12_159_5_5,,,
55927_2006_plant_owned_17539,f1_steam_2006_12_159_6_1,CG,,
55927_2005_plant_owned_17539,f1_steam_2005_12_159_6_1,CG,,Capacity off but still seems like right map
55927_2004_plant_owned_17539,f1_steam_2004_12_159_6_1,CG,,Capacity off but still seems like right map
3804_gt_2019_plant_prime_mover_total_19876,f1_steam_2019_12_186_5_1,CF,,
50555_2018_plant_total_19876,f1_steam_2018_12_186_6_1,CF,,
50555_2019_plant_total_19876,f1_steam_2019_12_186_6_1,CF,,
3285_4_2018_plant_gen_total_17539,f1_steam_2018_12_159_1_5,CF,,
3285_4_2019_plant_gen_total_17539,f1_steam_2019_12_159_1_5,CF,,
3285_5_2018_plant_gen_total_17539,f1_steam_2018_12_159_2_1,CF,,
3285_5_2019_plant_gen_total_17539,f1_steam_2019_12_159_2_1,CF,,
3285_2018_plant_total_17539,f1_steam_2018_12_159_2_3,CF,,
3285_2019_plant_total_17539,f1_steam_2019_12_159_2_3,CF,,
3295_gt4_2018_plant_gen_total_17539,f1_steam_2018_12_159_3_3,CF,,
3295_gt4_2019_plant_gen_total_17539,f1_steam_2019_12_159_3_3,CF,,
3281_1_2019_plant_gen_total_17539,f1_steam_2019_12_159_4_1,CF,,
3281_2_2018_plant_gen_total_17539,f1_steam_2018_12_159_4_2,CF,,
3281_2_2019_plant_gen_total_17539,f1_steam_2019_12_159_4_2,CF,,
3285_6_2018_plant_gen_total_17539,f1_steam_2018_12_159_2_2,CF,,
3285_6_2019_plant_gen_total_17539,f1_steam_2019_12_159_2_2,CF,,
56807_2019_plant_total_19876,f1_steam_2019_12_186_6_2,CF,,
56808_2019_plant_total_19876,f1_steam_2019_12_186_6_3,CF,,
6127_1_2018_plant_gen_owned_17539,f1_steam_2018_12_159_0_1,CF,,"Metrics match the OWNED portion of V C Summer 1 (2/3 ownership), not the TOTAL"
6127_1_2019_plant_gen_owned_17539,f1_steam_2019_12_159_0_1,CF,,"Metrics match the OWNED portion of V C Summer 1 (2/3 ownership), not the TOTAL"
55939_2019_plant_total_19876,f1_steam_2019_12_186_7_1,CF,,
60422_2019_plant_total_19876,f1_steam_2019_12_186_7_2,CF,,
58260_2019_plant_total_19876,f1_steam_2019_12_186_7_3,CF,,
60319_2018_plant_total_19876,f1_steam_2018_12_186_8_1,CF,,
60319_2019_plant_total_19876,f1_steam_2019_12_186_8_1,CF,,
60318_2018_plant_total_19876,f1_steam_2018_12_186_8_2,CF,,
60318_2019_plant_total_19876,f1_steam_2019_12_186_8_2,CF,,
60316_2018_plant_total_19876,f1_steam_2018_12_186_8_3,CF,,
60316_2019_plant_total_19876,f1_steam_2019_12_186_8_3,CF,,
60584_2018_plant_total_19876,f1_steam_2018_12_186_8_4,CF,,
60584_2019_plant_total_19876,f1_steam_2019_12_186_8_4,CF,,
59685_2018_plant_total_19876,f1_steam_2018_12_186_8_5,CF,,
59685_2019_plant_total_19876,f1_steam_2019_12_186_8_5,CF,,
61023_2019_plant_total_19876,f1_steam_2019_12_186_7_4,CF,,
55386_2018_plant_total_17539,f1_steam_2018_12_159_5_5,CF,,
55386_2019_plant_total_17539,f1_steam_2019_12_159_5_4,CF,,
6168_hy_2019_plant_prime_mover_total_19876,f1_gnrt_plant_2019_12_186_0_3,CF,,
